source,elapsed_min,total_free_mb,largest_free_mb,script_heap_mb
Long run stress.txt,7.277050000000054,954,918,209
Long run stress.txt,7.361283333333389,960,923,209
Long run stress.txt,7.4455500000000026,950,912,209
Long run stress.txt,7.529816666666678,947,910,209
Long run stress.txt,7.613983333333393,950,910,209
Long run stress.txt,7.69943333333334,945,904,209
Long run stress.txt,7.783650000000004,954,910,209
Long run stress.txt,7.867933333333349,925,862,209
Long run stress.txt,8.036416666666689,927,862,209
Long run stress.txt,8.120733333333373,921,862,209
Long run stress.txt,8.204950000000037,932,862,209
Long run stress.txt,8.289200000000044,914,862,209
Long run stress.txt,8.373416666666708,917,862,209
Long run stress.txt,8.457700000000052,945,886,209
Long run stress.txt,8.626100000000042,965,886,209
Long run stress.txt,8.710316666666706,958,886,209
Long run stress.txt,8.794566666666713,898,851,209
Long run stress.txt,8.878833333333386,933,886,209
Long run stress.txt,8.963066666666721,948,886,209
Long run stress.txt,9.30001666666667,948,886,209
Long run stress.txt,9.384300000000016,895,851,209
Long run stress.txt,9.46851666666668,940,886,209
Long run stress.txt,9.552750000000014,952,886,209
Long run stress.txt,9.63703333333336,940,886,209
Long run stress.txt,9.721316666666704,946,886,209
Long run stress.txt,9.80560000000005,922,867,209
Long run stress.txt,9.889850000000054,931,870,209
Long run stress.txt,9.97416666666668,932,870,209
Long run stress.txt,10.14311666666672,929,870,209
Long run stress.txt,10.228566666666726,935,870,209
Long run stress.txt,10.31281666666667,941,870,209
Long run stress.txt,10.397083333333345,922,870,209
Long run stress.txt,10.481366666666691,924,870,209
Long run stress.txt,10.565650000000035,930,870,209
Long run stress.txt,10.6498666666667,931,870,209
Long run stress.txt,10.734133333333375,929,870,209
Long run stress.txt,10.81835000000004,942,870,209
Long run stress.txt,10.902566666666704,948,870,209
Long run stress.txt,10.98680000000004,948,870,209
Long run stress.txt,11.155266666666709,950,870,209
Long run stress.txt,11.239500000000044,945,870,209
Long run stress.txt,11.323733333333378,927,870,209
Long run stress.txt,11.492233333333388,944,870,209
Long run stress.txt,11.660666666666717,961,870,209
Long run stress.txt,11.744883333333382,959,870,209
Long run stress.txt,11.829116666666717,959,870,209
Long run stress.txt,11.913333333333382,962,870,209
Long run stress.txt,11.997533333333376,965,870,209
Long run stress.txt,12.58700000000002,964,870,209
Long run stress.txt,12.671250000000024,964,870,209
Long run stress.txt,13.09353333333335,921,835,209
Long run stress.txt,13.177766666666685,956,870,209
Long run stress.txt,13.346250000000024,921,835,209
Long run stress.txt,13.430466666666689,956,870,209
Long run stress.txt,13.514700000000024,956,870,209
Long run stress.txt,14.188533333333362,921,835,209
Long run stress.txt,14.272766666666696,956,870,209
Long run stress.txt,14.357033333333371,956,870,209
Long run stress.txt,14.441266666666706,940,854,209
Long run stress.txt,15.199716666666669,940,854,209
Long run stress.txt,15.285066666666717,925,854,209
Long run stress.txt,15.369283333333382,929,854,209
Long run stress.txt,15.622050000000005,918,854,209
Long run stress.txt,15.70630000000001,919,854,209
Long run stress.txt,15.790550000000016,877,838,209
Long run stress.txt,15.87480000000002,915,838,209
Long run stress.txt,16.04330000000003,904,838,209
Long run stress.txt,16.464500000000044,896,838,209
Long run stress.txt,16.548750000000048,892,838,209
Long run stress.txt,16.633050000000004,904,838,209
Long run stress.txt,16.885783333333347,904,838,209
Long run stress.txt,16.97003333333335,894,838,209
Long run stress.txt,17.054283333333355,900,838,209
Long run stress.txt,17.391266666666706,907,838,209
Long run stress.txt,17.728216666666714,907,838,209
Long run stress.txt,17.897900000000057,895,838,209
Long run stress.txt,17.98215,883,838,209
Long run stress.txt,18.066433333333347,884,838,209
Long run stress.txt,18.150716666666693,900,838,209
Long run stress.txt,18.234966666666697,890,838,209
Long run stress.txt,18.571966666666714,890,838,209
Long run stress.txt,18.824733333333338,900,838,209
Long run stress.txt,19.330150000000017,888,838,209
Long run stress.txt,19.414450000000034,893,838,209
Long run stress.txt,20.004300000000026,900,838,209
Long run stress.txt,20.088550000000033,901,838,209
Long run stress.txt,20.173283333333348,899,838,209
Long run stress.txt,20.25751666666668,893,838,209
Long run stress.txt,20.34293333333335,890,838,209
Long run stress.txt,20.595733333333374,891,838,209
Long run stress.txt,21.10133333333336,891,838,209
Long run stress.txt,21.185616666666707,882,838,209
Long run stress.txt,21.60693333333335,875,838,209
Long run stress.txt,21.691216666666698,876,838,209
Long run stress.txt,21.775466666666702,877,838,209
Long run stress.txt,21.859716666666706,907,838,209
Long run stress.txt,21.94398333333338,907,838,209
Long run stress.txt,22.028250000000057,905,838,209
Long run stress.txt,22.11248333333339,902,838,209
Long run stress.txt,22.196733333333334,898,838,209
Long run stress.txt,22.365216666666676,900,838,209
Long run stress.txt,22.44948333333335,904,838,209
Long run stress.txt,22.533750000000023,885,838,209
Long run stress.txt,22.61803333333337,888,838,209
Long run stress.txt,22.702250000000035,898,838,209
Long run stress.txt,22.78650000000004,898,838,209
Long run stress.txt,22.95626666666667,875,835,209
Long run stress.txt,23.040533333333347,872,835,209
Long run stress.txt,23.12488333333337,880,838,209
Long run stress.txt,23.209250000000004,865,830,209
Long run stress.txt,23.29350000000001,881,838,209
Long run stress.txt,23.377850000000034,892,838,209
Long run stress.txt,23.46213333333338,887,838,209
Long run stress.txt,23.63066666666667,902,838,209
Long run stress.txt,23.714916666666674,901,838,209
Long run stress.txt,23.79916666666668,895,838,209
Long run stress.txt,23.883416666666683,896,838,209
Long run stress.txt,23.96768333333336,882,838,209
Long run stress.txt,24.051966666666704,883,838,209
Long run stress.txt,24.13623333333338,894,838,209
Long run stress.txt,24.220533333333393,883,838,209
Long run stress.txt,24.304816666666678,873,833,209
Long run stress.txt,24.389100000000024,851,814,209
Long run stress.txt,24.473383333333366,862,814,209
Long run stress.txt,24.557666666666712,867,814,209
Long run stress.txt,24.641950000000058,872,814,209
Long run stress.txt,24.726283333333352,867,814,209
Long run stress.txt,24.810550000000028,868,814,209
Long run stress.txt,24.894816666666703,875,814,209
Long run stress.txt,25.06336666666672,881,814,209
Long run stress.txt,25.14761666666673,876,814,209
Long run stress.txt,25.232333333333372,878,814,209
Long run stress.txt,25.316583333333377,878,814,209
Long run stress.txt,25.402050000000052,877,814,209
Long run stress.txt,25.570583333333342,861,814,209
Long run stress.txt,25.65486666666669,873,814,209
Long run stress.txt,25.739133333333363,867,814,209
Long run stress.txt,25.823433333333377,872,814,209
Long run stress.txt,25.90770000000005,875,814,209
Long run stress.txt,26.07623333333334,872,814,209
